,cod_cliente,primeiro_nome_x,ultimo_nome_x,email_x,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento_x,endereco_x,cep_x,cod_proposta,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,primeiro_nome_y,ultimo_nome_y,email_y,cpf,data_nascimento_y,endereco_y,cep_y,cod_agencia,nome,endereco,cidade,uf,data_abertura,tipo_agencia
0,28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,483.0,17.0,2015-04-03 04:34:11 UTC,0.0106,13056.935826796936,18009.22,4952.284173203065,285.15707794359,63.0,3.0,Enviada,Larissa,Castro,asilva@example.com,137.405.962-52,1980-05-19,"Setor de Oliveira, 8 Teixeira Dias 68695-507 Costela / SC",71170-459,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
1,28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,210.0,73.0,2010-09-02 22:06:54 UTC,0.0212,68031.9627465627,110541.92,42509.957253437286,1910.887012130904,67.0,6.0,Enviada,Lucas Gabriel,da Costa,sophie99@example.net,749.536.012-70,1977-03-08,"Conjunto Melo, 64 Vila Nova Gameleira 3ª Seção 99419458 Duarte Alegre / AC",80265890,4.0,Agência Osasco,"Av. Antônio Carlos Costa, 1000 - Bela Vista, Osasco - SP, 06053-014",Osasco,SP,2013-11-06,Física
2,28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,1673.0,87.0,2018-05-30 16:04:13 UTC,0.0132,139839.834712349,240449.39,100609.555287651,2861.303123404595,79.0,5.0,Aprovada,Luna,Teixeira,samuel34@example.org,403.762.985-29,1998-04-06,"Viaduto Cunha, 3 Minas Brasil 94652281 Nascimento do Oeste / SC",53544065,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
3,674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,895.0,29.0,2020-07-24 15:00:23 UTC,0.021,94843.8532226259,140271.31,45427.4567773741,2363.479287375019,89.0,1.0,Enviada,Juan,Barbosa,cavalcantithomas@example.org,403.527.198-50,1967-10-09,"Favela de Cunha, 84 Jardim América 28360-153 da Costa do Campo / RJ",42832-180,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
4,674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,910.0,34.0,2022-04-23 03:15:25 UTC,0.0236,15301.504985701948,19535.75,4234.245014298052,4053.705325967961,4.0,3.0,Aprovada,Daniela,Fernandes,rezendemarcela@example.org,627.401.395-43,1996-07-22,"Feira de Melo, 95 Bom Jesus 02499-885 Jesus / PE",73390-636,1.0,Agência Matriz,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2010-01-01,Física
5,674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,645.0,99.0,2012-08-22 08:52:00 UTC,0.017,150015.05257956215,178999.79,28984.737420437865,3768.2113592566616,67.0,3.0,Em análise,Fernando,Costela,osilveira@example.net,492.758.103-97,1963-11-24,"Praça de Duarte, 5 Santa Rosa 84418424 Cardoso de Carvalho / RO",15164977,10.0,Agência Recife,"Av. Conselheiro Aguiar, 4432 - Boa Viagem, Recife - PE, 51021-020",Recife,PE,2021-10-09,Física
6,674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,1231.0,97.0,2016-02-07 20:39:14 UTC,0.0242,38157.02859390019,65989.6,27832.571406099807,6908.884455901752,6.0,4.0,Validação documentos,Nicolas,Cardoso,costajoao-miguel@example.net,897.605.341-93,1969-04-22,"Vereda Freitas, 46 Minas Brasil 80891-631 da Mata / CE",21980-775,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
7,693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,1662.0,72.0,2021-03-14 01:34:29 UTC,0.0199,205244.55745584876,247930.69,42686.13254415129,5942.465184808776,59.0,4.0,Enviada,Noah,Barros,martinsmarcos-vinicius@example.net,126.749.853-64,1991-04-25,"Colônia de da Luz, 258 Vila Santo Antônio Barroquinha 53260-352 Farias / MG",57387761,1.0,Agência Matriz,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2010-01-01,Física
8,693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,764.0,64.0,2019-06-04 22:03:24 UTC,0.0127,94354.8802872629,121454.58,27099.699712737096,2042.71078997162,70.0,5.0,Validação documentos,Ana Júlia,Jesus,thales22@example.com,265.931.407-16,1975-06-15,Travessa Araújo Flamengo 90045246 Dias / AM,85994735,7.0,Agência Digital,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2015-08-01,Digital
9,693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,533.0,85.0,2018-06-12 04:19:20 UTC,0.0132,5386.3779503016685,7743.1,2356.722049698331,108.66484202427424,81.0,0.0,Validação documentos,Pedro Lucas,Rocha,pauloribeiro@example.org,305.687.219-77,1991-12-07,"Fazenda Pedro Miguel Vieira, 714 São Salvador 88997-693 Viana da Mata / RR",12941395,7.0,Agência Digital,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2015-08-01,Digital
